component_name,correlation_r,abs_correlation,p_value
ecs_prompt_final_layer_per_head_layer_16_head_8,-0.24300,0.24300,0.00020
bos_attention_proportion_per_head_layer_24_head_22,-0.24225,0.24225,0.00021
attention_entropy_per_head_layer_16_head_0,-0.24176,0.24176,0.00021
cas_alt_vs_current_layer_per_head_layer_10_head_3,0.24144,0.24144,0.00022
x_post_ffn_norm_per_layer_layer_27,-0.24137,0.24137,0.00022
cas_alt_vs_current_layer_per_head_layer_10_head_16,0.24093,0.24093,0.00023
cas_alt_vs_current_layer_per_head_layer_9_head_11,0.24069,0.24069,0.00023
ecs_prompt_final_layer_per_head_layer_26_head_4,-0.24044,0.24044,0.00023
ecs_prompt_final_layer_per_head_layer_6_head_9,-0.24035,0.24035,0.00023
cas_alt_vs_current_layer_per_head_layer_10_head_17,0.23999,0.23999,0.00024
cas_alt_vs_current_layer_per_head_layer_13_head_18,0.23939,0.23939,0.00025
ecs_prompt_final_layer_per_head_layer_11_head_18,-0.23909,0.23909,0.00025
cas_alt_vs_final_layer_per_head_layer_5_head_3,-0.23900,0.23900,0.00025
ecs_prompt_final_layer_per_head_layer_11_head_20,-0.23875,0.23875,0.00026
ecs_prompt_final_layer_per_head_layer_12_head_17,-0.23872,0.23872,0.00026
cas_alt_vs_current_layer_per_head_layer_9_head_17,0.23867,0.23867,0.00026
bos_attention_proportion_per_head_layer_20_head_7,0.23855,0.23855,0.00026
ecs_prompt_final_layer_per_head_layer_25_head_7,-0.23842,0.23842,0.00026
ecs_prompt_final_layer_per_head_layer_11_head_15,-0.23840,0.23840,0.00026
bos_attention_proportion_per_head_layer_10_head_13,0.23832,0.23832,0.00026
cas_alt_vs_current_layer_per_head_layer_13_head_0,0.23830,0.23830,0.00027
ecs_prompt_final_layer_per_head_layer_25_head_10,-0.23817,0.23817,0.00027
attention_entropy_per_head_layer_5_head_5,-0.23764,0.23764,0.00028
cas_alt_vs_current_layer_per_head_layer_9_head_3,0.23753,0.23753,0.00028
cas_alt_vs_current_layer_per_head_layer_9_head_20,0.23746,0.23746,0.00028
ecs_final_layer_per_head_layer_15_head_20,-0.23743,0.23743,0.00028
cas_alt_vs_current_layer_per_head_layer_13_head_1,0.23737,0.23737,0.00028
ecs_prompt_final_layer_per_head_layer_11_head_19,-0.23699,0.23699,0.00029
cas_alt_vs_current_layer_per_head_layer_9_head_15,0.23690,0.23690,0.00029
bos_attention_proportion_per_head_layer_25_head_20,-0.23670,0.23670,0.00029
ecs_prompt_final_layer_per_head_layer_11_head_7,-0.23611,0.23611,0.00030
cas_alt_vs_current_layer_per_head_layer_13_head_19,0.23600,0.23600,0.00031
cas_alt_vs_current_layer_per_head_layer_9_head_18,0.23596,0.23596,0.00031
cas_alt_vs_current_layer_per_head_layer_13_head_21,0.23588,0.23588,0.00031
ecs_prompt_final_layer_per_head_layer_4_head_21,-0.23585,0.23585,0.00031
ecs_prompt_final_layer_per_head_layer_15_head_11,-0.23575,0.23575,0.00031
bos_attention_proportion_per_head_layer_23_head_1,-0.23537,0.23537,0.00032
ecs_prompt_final_layer_per_head_layer_24_head_14,-0.23532,0.23532,0.00032
ecs_prompt_specific_layer_per_head_layer_1_head_21,0.23529,0.23529,0.00032
ecs_prompt_final_layer_per_head_layer_25_head_23,-0.23516,0.23516,0.00032
cas_alt_vs_current_layer_per_head_layer_9_head_14,0.23514,0.23514,0.00032
ecs_final_layer_per_head_layer_15_head_19,-0.23510,0.23510,0.00032
ecs_prompt_final_layer_per_head_layer_11_head_8,-0.23493,0.23493,0.00033
ecs_final_layer_per_head_layer_26_head_0,-0.23492,0.23492,0.00033
ecs_prompt_final_layer_per_head_layer_25_head_21,-0.23484,0.23484,0.00033
ecs_prompt_specific_layer_per_head_layer_26_head_0,-0.23476,0.23476,0.00033
ecs_prompt_final_layer_per_head_layer_18_head_21,-0.23473,0.23473,0.00033
cas_alt_vs_final_layer_per_head_layer_13_head_14,-0.23472,0.23472,0.00033
ecs_prompt_final_layer_per_head_layer_6_head_11,-0.23463,0.23463,0.00033
ecs_prompt_final_layer_per_head_layer_9_head_22,-0.23434,0.23434,0.00034
ecs_prompt_final_layer_per_head_layer_14_head_6,-0.23416,0.23416,0.00034
ecs_prompt_final_layer_per_head_layer_23_head_16,-0.23406,0.23406,0.00034
cas_alt_vs_current_layer_per_head_layer_10_head_0,0.23380,0.23380,0.00035
ecs_final_layer_per_head_layer_10_head_17,-0.23377,0.23377,0.00035
ecs_prompt_final_layer_per_head_layer_18_head_6,-0.23370,0.23370,0.00035
ecs_prompt_final_layer_per_head_layer_5_head_17,-0.23339,0.23339,0.00036
ecs_final_layer_per_head_layer_12_head_0,-0.23324,0.23324,0.00036
cas_alt_vs_current_layer_per_head_layer_10_head_1,0.23324,0.23324,0.00036
cas_alt_vs_current_layer_per_head_layer_9_head_19,0.23323,0.23323,0.00036
ecs_prompt_final_layer_per_head_layer_25_head_11,-0.23322,0.23322,0.00036
x_pre_ffn_norm_per_layer_layer_22,0.23320,0.23320,0.00036
ecs_prompt_final_layer_per_head_layer_6_head_10,-0.23300,0.23300,0.00037
attention_entropy_per_head_layer_6_head_18,-0.23297,0.23297,0.00037
ecs_prompt_final_layer_per_head_layer_13_head_20,-0.23284,0.23284,0.00037
cas_alt_vs_current_layer_per_head_layer_13_head_16,0.23282,0.23282,0.00037
attention_entropy_per_head_layer_16_head_14,-0.23272,0.23272,0.00037
ecs_prompt_specific_layer_per_head_layer_27_head_3,-0.23259,0.23259,0.00038
ecs_prompt_final_layer_per_head_layer_27_head_3,-0.23259,0.23259,0.00038
ecs_final_layer_per_head_layer_9_head_21,-0.23258,0.23258,0.00038
ecs_prompt_final_layer_per_head_layer_17_head_4,-0.23252,0.23252,0.00038
ecs_prompt_final_layer_per_head_layer_11_head_3,-0.23247,0.23247,0.00038
ecs_prompt_final_layer_per_head_layer_21_head_0,-0.23240,0.23240,0.00038
ecs_prompt_final_layer_per_head_layer_10_head_7,-0.23236,0.23236,0.00038
ecs_final_layer_per_head_layer_26_head_19,-0.23224,0.23224,0.00038
ecs_prompt_final_layer_per_head_layer_21_head_6,-0.23212,0.23212,0.00039
ecs_final_layer_per_head_layer_10_head_4,-0.23172,0.23172,0.00039
ecs_final_layer_per_head_layer_25_head_7,-0.23165,0.23165,0.00040
ecs_prompt_final_layer_per_head_layer_23_head_17,-0.23154,0.23154,0.00040
ecs_prompt_final_layer_per_head_layer_15_head_0,-0.23127,0.23127,0.00041
ecs_final_layer_per_head_layer_9_head_11,-0.23125,0.23125,0.00041
ecs_prompt_final_layer_per_head_layer_10_head_17,-0.23122,0.23122,0.00041
ecs_prompt_final_layer_per_head_layer_15_head_9,-0.23115,0.23115,0.00041
ecs_prompt_final_layer_per_head_layer_24_head_23,-0.23111,0.23111,0.00041
cas_alt_vs_current_layer_per_head_layer_10_head_18,0.23111,0.23111,0.00041
ecs_prompt_final_layer_per_head_layer_9_head_5,-0.23109,0.23109,0.00041
cas_alt_vs_current_layer_per_head_layer_9_head_5,0.23108,0.23108,0.00041
ecs_prompt_specific_layer_per_head_layer_27_head_4,-0.23097,0.23097,0.00041
ecs_prompt_final_layer_per_head_layer_27_head_4,-0.23097,0.23097,0.00041
ecs_final_layer_per_head_layer_13_head_20,-0.23093,0.23093,0.00041
ecs_prompt_final_layer_per_head_layer_19_head_13,-0.23077,0.23077,0.00042
ecs_prompt_final_layer_per_head_layer_17_head_19,-0.23075,0.23075,0.00042
attention_entropy_per_head_layer_0_head_16,0.23073,0.23073,0.00042
ecs_prompt_final_layer_per_head_layer_5_head_20,-0.23068,0.23068,0.00042
ecs_prompt_final_layer_per_head_layer_25_head_9,-0.23031,0.23031,0.00043
cas_alt_vs_current_layer_per_head_layer_13_head_22,0.23021,0.23021,0.00043
cas_alt_vs_final_layer_per_head_layer_10_head_5,-0.23014,0.23014,0.00043
ecs_prompt_final_layer_per_head_layer_25_head_13,-0.23006,0.23006,0.00044
ecs_prompt_final_layer_per_head_layer_10_head_13,-0.23002,0.23002,0.00044
ecs_prompt_final_layer_per_head_layer_14_head_18,-0.22995,0.22995,0.00044
bos_attention_proportion_per_head_layer_9_head_7,0.22993,0.22993,0.00044
ecs_prompt_final_layer_per_head_layer_14_head_1,-0.22989,0.22989,0.00044
ecs_prompt_final_layer_per_head_layer_26_head_18,-0.22975,0.22975,0.00044
ecs_prompt_final_layer_per_head_layer_18_head_9,-0.22974,0.22974,0.00044
cas_alt_vs_current_layer_per_head_layer_9_head_21,0.22971,0.22971,0.00044
ecs_prompt_final_layer_per_head_layer_10_head_23,-0.22954,0.22954,0.00045
ecs_prompt_final_layer_per_head_layer_15_head_14,-0.22950,0.22950,0.00045
ecs_prompt_final_layer_per_head_layer_17_head_15,-0.22948,0.22948,0.00045
cas_alt_vs_current_layer_per_head_layer_9_head_16,0.22939,0.22939,0.00045
bos_attention_proportion_per_head_layer_15_head_16,0.22934,0.22934,0.00045
bos_attention_proportion_per_head_layer_15_head_10,0.22928,0.22928,0.00046
ecs_prompt_final_layer_per_head_layer_9_head_21,-0.22926,0.22926,0.00046
ecs_prompt_final_layer_per_head_layer_10_head_2,-0.22925,0.22925,0.00046
ecs_prompt_final_layer_per_head_layer_14_head_8,-0.22923,0.22923,0.00046
ecs_prompt_final_layer_per_head_layer_20_head_17,-0.22922,0.22922,0.00046
ecs_prompt_final_layer_per_head_layer_26_head_3,-0.22922,0.22922,0.00046
ecs_prompt_final_layer_per_head_layer_10_head_4,-0.22911,0.22911,0.00046
cas_alt_vs_current_layer_per_head_layer_9_head_9,0.22906,0.22906,0.00046
ecs_prompt_final_layer_per_head_layer_18_head_23,-0.22903,0.22903,0.00046
cas_alt_vs_final_layer_per_head_layer_13_head_13,-0.22894,0.22894,0.00047
attention_entropy_per_head_layer_15_head_20,-0.22891,0.22891,0.00047
cas_alt_vs_current_layer_per_head_layer_10_head_2,0.22890,0.22890,0.00047
bos_attention_proportion_per_head_layer_22_head_17,-0.22885,0.22885,0.00047
cas_alt_vs_current_layer_per_head_layer_14_head_2,0.22885,0.22885,0.00047
ecs_prompt_final_layer_per_head_layer_25_head_5,-0.22885,0.22885,0.00047
ecs_prompt_final_layer_per_head_layer_13_head_5,-0.22876,0.22876,0.00047
ecs_prompt_final_layer_per_head_layer_24_head_20,-0.22875,0.22875,0.00047
cos_sim_input_pre_ffn_per_layer_layer_19,0.22850,0.22850,0.00048
cas_alt_vs_current_layer_per_head_layer_10_head_19,0.22849,0.22849,0.00048
ecs_prompt_final_layer_per_head_layer_23_head_14,-0.22843,0.22843,0.00048
pos_cos_similarity_per_layer_layer_27,-0.22840,0.22840,0.00048
ecs_specific_layer_per_head_layer_27_head_4,-0.22831,0.22831,0.00048
ecs_final_layer_per_head_layer_27_head_4,-0.22831,0.22831,0.00048
ecs_final_layer_per_head_layer_15_head_16,-0.22825,0.22825,0.00048
cas_alt_vs_final_layer_per_head_layer_13_head_12,-0.22825,0.22825,0.00048
ecs_prompt_final_layer_per_head_layer_11_head_6,-0.22809,0.22809,0.00049
ecs_prompt_final_layer_per_head_layer_8_head_0,-0.22807,0.22807,0.00049
ecs_prompt_final_layer_per_head_layer_27_head_20,-0.22804,0.22804,0.00049
ecs_prompt_specific_layer_per_head_layer_27_head_20,-0.22804,0.22804,0.00049
ecs_prompt_final_layer_per_head_layer_14_head_7,-0.22801,0.22801,0.00049
ecs_prompt_final_layer_per_head_layer_27_head_0,-0.22799,0.22799,0.00049
ecs_prompt_specific_layer_per_head_layer_27_head_0,-0.22799,0.22799,0.00049
bos_attention_proportion_per_head_layer_14_head_1,-0.22784,0.22784,0.00050
ecs_specific_layer_per_head_layer_26_head_0,-0.22779,0.22779,0.00050
ecs_prompt_final_layer_per_head_layer_5_head_2,-0.22775,0.22775,0.00050
ecs_prompt_final_layer_per_head_layer_12_head_20,-0.22769,0.22769,0.00050
ecs_prompt_final_layer_per_head_layer_6_head_16,-0.22767,0.22767,0.00050
ecs_prompt_final_layer_per_head_layer_5_head_4,-0.22765,0.22765,0.00050
ecs_prompt_final_layer_per_head_layer_9_head_16,-0.22765,0.22765,0.00050
ecs_prompt_final_layer_per_head_layer_26_head_19,-0.22745,0.22745,0.00051
cos_sim_input_post_ffn_per_layer_layer_27,0.22745,0.22745,0.00051
cas_alt_vs_final_layer_per_head_layer_11_head_19,-0.22732,0.22732,0.00051
cas_alt_vs_current_layer_per_head_layer_13_head_6,0.22727,0.22727,0.00051
cas_alt_vs_current_layer_per_head_layer_13_head_17,0.22713,0.22713,0.00052
ecs_final_layer_per_head_layer_25_head_23,-0.22703,0.22703,0.00052
ecs_prompt_final_layer_per_head_layer_24_head_0,-0.22690,0.22690,0.00052
cas_alt_vs_final_layer_per_head_layer_26_head_13,-0.22677,0.22677,0.00053
ecs_prompt_specific_layer_per_head_layer_27_head_18,-0.22675,0.22675,0.00053
ecs_prompt_final_layer_per_head_layer_27_head_18,-0.22675,0.22675,0.00053
ecs_prompt_final_layer_per_head_layer_5_head_18,-0.22668,0.22668,0.00053
ecs_final_layer_per_head_layer_10_head_11,-0.22649,0.22649,0.00054
cas_vs_final_layer_per_head_layer_0_head_21,-0.22647,0.22647,0.00054
ecs_prompt_final_layer_per_head_layer_24_head_12,-0.22643,0.22643,0.00054
ecs_prompt_final_layer_per_head_layer_4_head_16,-0.22642,0.22642,0.00054
ecs_prompt_final_layer_per_head_layer_17_head_8,-0.22642,0.22642,0.00054
ecs_final_layer_per_head_layer_12_head_20,-0.22637,0.22637,0.00054
cas_alt_vs_final_layer_per_head_layer_24_head_12,-0.22636,0.22636,0.00054
ecs_prompt_final_layer_per_head_layer_9_head_3,-0.22635,0.22635,0.00054
ecs_prompt_final_layer_per_head_layer_25_head_0,-0.22630,0.22630,0.00054
ecs_prompt_final_layer_per_head_layer_24_head_1,-0.22628,0.22628,0.00054
ecs_prompt_final_layer_per_head_layer_19_head_20,-0.22621,0.22621,0.00055
ecs_prompt_final_layer_per_head_layer_20_head_0,-0.22617,0.22617,0.00055
cas_alt_vs_final_layer_per_head_layer_11_head_18,-0.22614,0.22614,0.00055
ecs_prompt_final_layer_per_head_layer_10_head_1,-0.22600,0.22600,0.00055
cas_alt_vs_final_layer_per_head_layer_17_head_19,-0.22600,0.22600,0.00055
ecs_prompt_final_layer_per_head_layer_18_head_8,-0.22598,0.22598,0.00055
ecs_prompt_final_layer_per_head_layer_27_head_19,-0.22584,0.22584,0.00056
ecs_prompt_specific_layer_per_head_layer_27_head_19,-0.22584,0.22584,0.00056
cas_alt_vs_current_layer_per_head_layer_9_head_4,0.22573,0.22573,0.00056
ecs_prompt_final_layer_per_head_layer_26_head_5,-0.22568,0.22568,0.00056
ecs_prompt_final_layer_per_head_layer_3_head_19,-0.22568,0.22568,0.00056
ecs_prompt_final_layer_per_head_layer_8_head_6,-0.22567,0.22567,0.00056
ecs_prompt_final_layer_per_head_layer_13_head_10,-0.22566,0.22566,0.00056
ecs_final_layer_per_head_layer_14_head_8,-0.22565,0.22565,0.00056
ecs_prompt_final_layer_per_head_layer_18_head_4,-0.22563,0.22563,0.00057
ecs_prompt_final_layer_per_head_layer_25_head_2,-0.22559,0.22559,0.00057
ecs_prompt_final_layer_per_head_layer_17_head_21,-0.22554,0.22554,0.00057
ecs_prompt_final_layer_per_head_layer_22_head_6,-0.22549,0.22549,0.00057
ecs_prompt_final_layer_per_head_layer_10_head_18,-0.22547,0.22547,0.00057
ecs_final_layer_per_head_layer_12_head_11,-0.22543,0.22543,0.00057
ecs_final_layer_per_head_layer_14_head_1,-0.22532,0.22532,0.00058
ecs_prompt_final_layer_per_head_layer_12_head_23,-0.22520,0.22520,0.00058
ecs_prompt_final_layer_per_head_layer_1_head_6,-0.22517,0.22517,0.00058
ecs_prompt_specific_layer_per_head_layer_27_head_10,-0.22515,0.22515,0.00058
ecs_prompt_final_layer_per_head_layer_27_head_10,-0.22515,0.22515,0.00058
cas_alt_vs_final_layer_per_head_layer_25_head_7,-0.22512,0.22512,0.00058
ecs_final_layer_per_head_layer_25_head_21,-0.22505,0.22505,0.00058
ecs_final_layer_per_head_layer_23_head_14,-0.22501,0.22501,0.00059
ecs_final_layer_per_head_layer_26_head_2,-0.22498,0.22498,0.00059
ecs_prompt_final_layer_per_head_layer_21_head_10,-0.22490,0.22490,0.00059
cas_alt_vs_final_layer_per_head_layer_25_head_6,-0.22486,0.22486,0.00059
ecs_prompt_final_layer_per_head_layer_6_head_0,-0.22482,0.22482,0.00059
ecs_prompt_final_layer_per_head_layer_21_head_5,-0.22479,0.22479,0.00059
ecs_prompt_final_layer_per_head_layer_18_head_0,-0.22479,0.22479,0.00059
ecs_prompt_final_layer_per_head_layer_15_head_16,-0.22479,0.22479,0.00059
ecs_final_layer_per_head_layer_18_head_0,-0.22476,0.22476,0.00059
cas_alt_vs_final_layer_per_head_layer_14_head_18,-0.22475,0.22475,0.00059
ecs_prompt_final_layer_per_head_layer_7_head_3,-0.22461,0.22461,0.00060
ecs_prompt_final_layer_per_head_layer_11_head_17,-0.22459,0.22459,0.00060
ecs_prompt_final_layer_per_head_layer_16_head_11,-0.22459,0.22459,0.00060
ecs_prompt_final_layer_per_head_layer_6_head_22,-0.22450,0.22450,0.00060
ecs_prompt_final_layer_per_head_layer_9_head_17,-0.22449,0.22449,0.00060
ecs_final_layer_per_head_layer_11_head_15,-0.22433,0.22433,0.00061
ecs_prompt_final_layer_per_head_layer_25_head_4,-0.22429,0.22429,0.00061
cas_alt_vs_final_layer_per_head_layer_25_head_8,-0.22425,0.22425,0.00061
ecs_prompt_final_layer_per_head_layer_25_head_22,-0.22420,0.22420,0.00061
ecs_prompt_final_layer_per_head_layer_16_head_20,-0.22416,0.22416,0.00062
ecs_final_layer_per_head_layer_11_head_8,-0.22414,0.22414,0.00062
bos_attention_proportion_per_head_layer_6_head_17,-0.22408,0.22408,0.00062
ecs_prompt_final_layer_per_head_layer_18_head_3,-0.22405,0.22405,0.00062
cas_alt_vs_current_layer_per_head_layer_9_head_0,0.22402,0.22402,0.00062
cas_alt_vs_final_layer_per_head_layer_17_head_12,-0.22399,0.22399,0.00062
ecs_prompt_final_layer_per_head_layer_14_head_9,-0.22397,0.22397,0.00062
ecs_prompt_final_layer_per_head_layer_16_head_18,-0.22396,0.22396,0.00062
ecs_prompt_final_layer_per_head_layer_27_head_23,-0.22388,0.22388,0.00063
ecs_prompt_specific_layer_per_head_layer_27_head_23,-0.22388,0.22388,0.00063
ecs_prompt_specific_layer_per_head_layer_3_head_8,0.22384,0.22384,0.00063
bos_attention_proportion_per_head_layer_14_head_16,0.22378,0.22378,0.00063
ecs_prompt_final_layer_per_head_layer_20_head_6,-0.22374,0.22374,0.00063
attention_entropy_per_head_layer_17_head_17,-0.22370,0.22370,0.00063
ecs_final_layer_per_head_layer_18_head_9,-0.22365,0.22365,0.00063
ecs_prompt_final_layer_per_head_layer_11_head_16,-0.22364,0.22364,0.00063
attention_entropy_per_head_layer_14_head_13,-0.22362,0.22362,0.00064
ecs_final_layer_per_head_layer_8_head_6,-0.22354,0.22354,0.00064
ecs_final_layer_per_head_layer_11_head_7,-0.22352,0.22352,0.00064
cas_alt_vs_current_layer_per_head_layer_9_head_22,0.22348,0.22348,0.00064
ecs_prompt_final_layer_per_head_layer_20_head_18,-0.22348,0.22348,0.00064
cas_alt_vs_current_layer_per_head_layer_9_head_8,0.22338,0.22338,0.00064
ecs_prompt_final_layer_per_head_layer_17_head_22,-0.22327,0.22327,0.00065
ecs_prompt_final_layer_per_head_layer_9_head_2,-0.22326,0.22326,0.00065
bos_attention_proportion_per_head_layer_3_head_9,0.22319,0.22319,0.00065
cas_alt_vs_final_layer_per_head_layer_26_head_0,-0.22310,0.22310,0.00065
ecs_prompt_final_layer_per_head_layer_8_head_11,-0.22310,0.22310,0.00065
ecs_prompt_final_layer_per_head_layer_11_head_9,-0.22307,0.22307,0.00066
ecs_prompt_final_layer_per_head_layer_5_head_3,-0.22306,0.22306,0.00066
cas_alt_vs_current_layer_per_head_layer_2_head_9,0.22302,0.22302,0.00066
ecs_prompt_final_layer_per_head_layer_10_head_19,-0.22298,0.22298,0.00066
ecs_prompt_final_layer_per_head_layer_26_head_13,-0.22297,0.22297,0.00066
ecs_prompt_final_layer_per_head_layer_22_head_22,-0.22293,0.22293,0.00066
ecs_prompt_final_layer_per_head_layer_16_head_2,-0.22289,0.22289,0.00066
ecs_prompt_final_layer_per_head_layer_25_head_12,-0.22288,0.22288,0.00066
ecs_prompt_final_layer_per_head_layer_8_head_21,-0.22287,0.22287,0.00066
ecs_prompt_final_layer_per_head_layer_20_head_8,-0.22279,0.22279,0.00067
ecs_prompt_final_layer_per_head_layer_10_head_0,-0.22275,0.22275,0.00067
ecs_prompt_final_layer_per_head_layer_7_head_16,-0.22274,0.22274,0.00067
ecs_prompt_final_layer_per_head_layer_2_head_8,-0.22271,0.22271,0.00067
ecs_prompt_final_layer_per_head_layer_26_head_14,-0.22267,0.22267,0.00067
ecs_final_layer_per_head_layer_26_head_18,-0.22266,0.22266,0.00067
ecs_final_layer_per_head_layer_16_head_8,-0.22263,0.22263,0.00067
ecs_prompt_final_layer_per_head_layer_19_head_9,-0.22261,0.22261,0.00067
ecs_prompt_final_layer_per_head_layer_17_head_23,-0.22260,0.22260,0.00067
ecs_final_layer_per_head_layer_10_head_5,-0.22256,0.22256,0.00067
ecs_prompt_final_layer_per_head_layer_24_head_13,-0.22256,0.22256,0.00067
ecs_prompt_final_layer_per_head_layer_26_head_1,-0.22251,0.22251,0.00068
ecs_prompt_final_layer_per_head_layer_15_head_10,-0.22244,0.22244,0.00068
cas_alt_vs_final_layer_per_head_layer_26_head_19,-0.22244,0.22244,0.00068
cas_alt_vs_final_layer_per_head_layer_25_head_23,-0.22243,0.22243,0.00068
ecs_prompt_final_layer_per_head_layer_17_head_7,-0.22240,0.22240,0.00068
ecs_prompt_final_layer_per_head_layer_14_head_4,-0.22234,0.22234,0.00068
ecs_prompt_final_layer_per_head_layer_16_head_0,-0.22232,0.22232,0.00068
cas_alt_vs_final_layer_per_head_layer_9_head_21,-0.22232,0.22232,0.00068
cas_alt_vs_final_layer_per_head_layer_14_head_8,-0.22230,0.22230,0.00068
ecs_prompt_final_layer_per_head_layer_13_head_7,-0.22229,0.22229,0.00069
ecs_prompt_final_layer_per_head_layer_9_head_23,-0.22229,0.22229,0.00069
ecs_prompt_final_layer_per_head_layer_13_head_19,-0.22222,0.22222,0.00069
attention_entropy_per_head_layer_21_head_10,-0.22218,0.22218,0.00069
ecs_final_layer_per_head_layer_18_head_7,-0.22217,0.22217,0.00069
ecs_prompt_final_layer_per_head_layer_24_head_22,-0.22213,0.22213,0.00069
ecs_prompt_final_layer_per_head_layer_9_head_18,-0.22211,0.22211,0.00069
ecs_prompt_final_layer_per_head_layer_24_head_2,-0.22207,0.22207,0.00069
cas_alt_vs_current_layer_per_head_layer_9_head_7,0.22195,0.22195,0.00070
ecs_prompt_final_layer_per_head_layer_23_head_18,-0.22189,0.22189,0.00070
ecs_prompt_final_layer_per_head_layer_15_head_8,-0.22183,0.22183,0.00070
ecs_prompt_final_layer_per_head_layer_24_head_21,-0.22179,0.22179,0.00070
