Test_Data_Scope,k_percent,Classifier,Model_Combination,Mechanistic_Concept,Most_Important_Feature,MannWhitneyU_statistic,p_value,Is_Significant_p<0.05
Full_Single_Fold,100,EBM,Baseline,PKS_BASELINE,parameter_knowledge_difference_fft_mag_3,48.00000,0.05043,No
Confident_Single_Fold,100,EBM,Baseline,PKS_BASELINE,parameter_knowledge_difference_fft_mag_3,19.00000,0.06369,No
Full_All_Folds,100,EBM,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_slope,942245.00000,0.00597,Yes
Confident_All_Folds,100,EBM,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_slope,30.00000,0.14032,No
Full_All_Folds,100,EBM,Baseline,PKS_BASELINE,parameter_knowledge_difference_fft_mag_3,815000.00000,0.00062,Yes
Confident_All_Folds,100,EBM,Baseline,PKS_BASELINE,parameter_knowledge_difference_fft_mag_3,0.00000,0.00018,Yes
Full_Single_Fold,100,EBM,Ours 1,CAS,cas_alt_vs_final_layer_per_head_std,110.00000,0.35797,No
Confident_Single_Fold,100,EBM,Ours 1,CAS,cas_alt_vs_final_layer_per_head_std,58.00000,0.13332,No
Full_Single_Fold,100,EBM,Ours 1,PFS,v_ffn_norm_per_layer_std,120.00000,0.16433,No
Confident_Single_Fold,100,EBM,Ours 1,PFS,v_ffn_norm_per_layer_std,61.00000,0.07739,No
Full_All_Folds,100,EBM,Ours 1,CAS,cas_alt_vs_final_layer_per_head_std,1140600.00000,0.00000,Yes
Confident_All_Folds,100,EBM,Ours 1,CAS,cas_alt_vs_final_layer_per_head_std,100.00000,0.00018,Yes
Full_All_Folds,100,EBM,Ours 1,PFS,v_ffn_norm_per_layer_std,1153700.00000,0.00000,Yes
Confident_All_Folds,100,EBM,Ours 1,PFS,v_ffn_norm_per_layer_std,100.00000,0.00018,Yes
Full_Single_Fold,100,EBM,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,116.00000,0.22933,No
Confident_Single_Fold,100,EBM,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,60.00000,0.09340,No
Full_Single_Fold,100,EBM,Ours 2,CAS,cas_alt_vs_final_layer_per_head_fft_mag_5,91.00000,0.98120,No
Confident_Single_Fold,100,EBM,Ours 2,CAS,cas_alt_vs_final_layer_per_head_fft_mag_5,41.00000,1.00000,No
Full_Single_Fold,100,EBM,Ours 2,PAS,pos_cos_similarity_per_layer_max,102.00000,0.58774,No
Confident_Single_Fold,100,EBM,Ours 2,PAS,pos_cos_similarity_per_layer_max,57.00000,0.15770,No
Full_Single_Fold,100,EBM,Ours 2,PFS,v_ffn_norm_per_layer_max,116.00000,0.22927,No
Confident_Single_Fold,100,EBM,Ours 2,PFS,v_ffn_norm_per_layer_max,51.00000,0.37722,No
Full_All_Folds,100,EBM,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,1107798.00000,0.00000,Yes
Confident_All_Folds,100,EBM,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,96.00000,0.00057,Yes
Full_All_Folds,100,EBM,Ours 2,CAS,cas_alt_vs_final_layer_per_head_fft_mag_5,1062987.00000,0.00000,Yes
Confident_All_Folds,100,EBM,Ours 2,CAS,cas_alt_vs_final_layer_per_head_fft_mag_5,91.00000,0.00218,Yes
Full_All_Folds,100,EBM,Ours 2,PAS,pos_cos_similarity_per_layer_max,1189250.00000,0.00000,Yes
Confident_All_Folds,100,EBM,Ours 2,PAS,pos_cos_similarity_per_layer_max,100.00000,0.00017,Yes
Full_All_Folds,100,EBM,Ours 2,PFS,v_ffn_norm_per_layer_max,1185100.00000,0.00000,Yes
Confident_All_Folds,100,EBM,Ours 2,PFS,v_ffn_norm_per_layer_max,100.00000,0.00017,Yes
